,Name,Type,Address,Zip Code
13838,"('Einstein Bros. Bagels',)",bagels,987EDundeeRd,60074
13839,"(""Barnaby's Family Inn"",)",pizza,933WRandRd,60004
13840,"('La Hacienda De Los Fernandez',)",mexican,21520WFieldPkwy,60010
13841,"('Hotdogs',)",hotdogs,3600BerdnickSt,60008
13842,"(""Jimmy John's"",)",sandwiches,1017WDundeeRd,60004
13843,"('Subway',)",sandwiches,745WPalatineRd,60067
13844,"('Subway',)",sandwiches,1555NRandRd,60074
13845,"(""Jimmy John's"",)",delis,20771NRandRd,60047
13846,"('Walker Bros Original Pancake House',)",breakfast_brunch,825WDundeeRd,60004
13847,"('Chick-fil-A',)",hotdogs,5650WTouhyAve,60714
13848,"(""Sarpino's Pizzeria"",)",pizza,2428MainSt,60202
13849,"(""Jameson's Charhouse"",)",tradamerican,9525SkokieBlvd,60077
13850,"('Bunny Hutch',)",burgers,6438NLincolnAve,60712
13851,"(""Ken's Diner & Grill"",)",tradamerican,3353DempsterSt,60076
13852,"('Chipotle Mexican Grill',)",mexican,9408SkokieBlvd,60077
13853,"('Mr. Falafel',)",sandwiches,6404NCaliforniaAve,60645
13854,"(""McDonald's"",)",burgers,3122WTouhyAve,60645
13855,"('Chipotle Mexican Grill',)",hotdogs,3654WTouhyAve,60076
13856,"('El Pueblito #3',)",hotdogs,3941WTouhyAve,60712
13857,"(""McDonald's"",)",hotdogs,5360TouhyAve,60077
13858,"('Wilmette Chuck Wagon',)",hotdogs,1120CentralAve,60091
13859,"('Taco Bell',)",hotdogs,3511DevonAvenue,60659
13860,"(""Nando's PERi-PERi"",)",southafrican,4999OldOrchardCtr,60077
13861,"('Wingstop',)",chicken_wings,2434MainSt,60202
13862,"('Burger King',)",hotdogs,3626TouhyAve,60076
13863,"('Buffalo Wild Wings',)",tradamerican,4999OldOrchardCtr,60077
13864,"('Baghdad Family Restaurant',)",halal,4839OaktonSt,60077
13865,"('Panda Express',)",hotdogs,6201NLincolnAve,60659
13866,"('Noodles & Company',)",noodles,4999OldOrchardRd,60077
13867,"(""Wendy's"",)",hotdogs,6324NWesternAve,60659
13868,"('Bills Drive-In',)",hotdog,120AsburyAve,60202
13869,"(""King's & Queen's Restaurant"",)",halal,3918WTouhyAve,60712
13870,"('Burger King',)",hotdogs,3850WDempster,60076
13871,"(""Hecky's Barbecue"",)",bbq,1902GreenBayRd,60201
13872,"('Buffalo Wild Wings',)",chicken_wings,7020CarpenterRd,60077
13873,"('Noodles & Company',)",noodles,930ChurchSt,60201
13874,"(""Jimmy John's"",)",sandwiches,9402SkokieBlvd,60077
13875,"('East of Eden Carry-Outs',)",greek,6350NCiceroAve,60646
